date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-12-10,Club Brugge,Arsenal,0–3,Jan Breydelstadion,Sven Jablonski,49%,51%,438 of 506,440 of 527,7 of 18,10 of 20,7 of 10,7 of 7,86.6,83.5,38.9,50.0,70.0,100.0,Away Win,Arsenal
2025-12-10,Qarabağ,Ajax,2–4,Tofiq Bəhramov adına Respublika stadionu,Rade Obrenović,48%,52%,346 of 422,393 of 457,6 of 17,8 of 20,4 of 8,4 of 6,82.0,86.0,35.3,40.0,50.0,66.7,Away Win,Ajax
,,,,,,,,,,,,,,,,,,,,,
2026-01-20,Bodø/Glimt,Manchester City,,Aspmyra Stadion,,,,,,,,,,,,,,,,,
2026-01-20,Sporting CP,Paris S-G,,Estádio José Alvalade,,,,,,,,,,,,,,,,,
2026-01-20,Tottenham,Dortmund,,Tottenham Hotspur Stadium,,,,,,,,,,,,,,,,,
2026-01-20,Qaırat Almaty,Club Brugge,,Astana Arena,,,,,,,,,,,,,,,,,
2026-01-20,Real Madrid,Monaco,,Estadio Santiago Bernabéu,,,,,,,,,,,,,,,,,
2026-01-20,Villarreal,Ajax,,Estadio de la Cerámica,,,,,,,,,,,,,,,,,
2026-01-20,Inter,Arsenal,,Stadio Giuseppe Meazza,,,,,,,,,,,,,,,,,
2026-01-20,FC Copenhagen,Napoli,,Parken,,,,,,,,,,,,,,,,,
2026-01-20,Olympiacos,Leverkusen,,Stadio Georgios Karaiskáki,,,,,,,,,,,,,,,,,
2026-01-21,Newcastle Utd,PSV Eindhoven,,St James' Park,,,,,,,,,,,,,,,,,
2026-01-21,Chelsea,Pafos FC,,Stamford Bridge,,,,,,,,,,,,,,,,,
2026-01-21,Galatasaray,Atlético Madrid,,RAMS Park,,,,,,,,,,,,,,,,,
2026-01-21,Atalanta,Athletic Club,,New Balance Arena,,,,,,,,,,,,,,,,,
2026-01-21,Juventus,Benfica,,Allianz Stadium,,,,,,,,,,,,,,,,,
2026-01-21,Bayern Munich,Union SG,,Allianz Arena,,,,,,,,,,,,,,,,,
2026-01-21,Marseille,Liverpool,,Orange Vélodrome,,,,,,,,,,,,,,,,,
2026-01-21,Slavia Prague,Barcelona,,Fortuna Arena,,,,,,,,,,,,,,,,,
2026-01-21,Qarabağ,Eint Frankfurt,,Tofiq Bəhramov adına Respublika stadionu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2026-01-28,Benfica,Real Madrid,,Estádio do Sport Lisboa e Benfica,,,,,,,,,,,,,,,,,
2026-01-28,Arsenal,Qaırat Almaty,,Emirates Stadium,,,,,,,,,,,,,,,,,
2026-01-28,Manchester City,Galatasaray,,Etihad Stadium,,,,,,,,,,,,,,,,,
2026-01-28,Liverpool,Qarabağ,,Anfield,,,,,,,,,,,,,,,,,
2026-01-28,Monaco,Juventus,,Stade Louis II,,,,,,,,,,,,,,,,,
2026-01-28,Dortmund,Inter,,Signal Iduna Park,,,,,,,,,,,,,,,,,
2026-01-28,Union SG,Atalanta,,Lotto Park,,,,,,,,,,,,,,,,,
2026-01-28,PSV Eindhoven,Bayern Munich,,Philips Stadion,,,,,,,,,,,,,,,,,
2026-01-28,Club Brugge,Marseille,,Jan Breydelstadion,,,,,,,,,,,,,,,,,
2026-01-28,Eint Frankfurt,Tottenham,,Deutsche Bank Park,,,,,,,,,,,,,,,,,
2026-01-28,Ajax,Olympiacos,,Johan Cruijff Arena,,,,,,,,,,,,,,,,,
2026-01-28,Atlético Madrid,Bodø/Glimt,,Riyadh Air Metropolitan Stadium,,,,,,,,,,,,,,,,,
2026-01-28,Athletic Club,Sporting CP,,San Mamés,,,,,,,,,,,,,,,,,
2026-01-28,Barcelona,FC Copenhagen,,Spotify Camp Nou,,,,,,,,,,,,,,,,,
2026-01-28,Leverkusen,Villarreal,,BayArena,,,,,,,,,,,,,,,,,
2026-01-28,Paris S-G,Newcastle Utd,,Parc des Princes,,,,,,,,,,,,,,,,,
2026-01-28,Napoli,Chelsea,,Stadio Diego Armando Maradona,,,,,,,,,,,,,,,,,
2026-01-28,Pafos FC,Slavia Prague,,Alphamega Stadium,,,,,,,,,,,,,,,,,
